Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
22272,5.521000,14321,11213,64,46437505
22400,5.504000,14306,9272,73,46719348
22528,5.611000,14594,11186,76,47076472
22656,5.629000,14910,10355,54,47351642
22784,5.688000,14828,8542,20,47661300
22912,5.654000,15035,8294,81,47948830
23040,5.729000,15141,12242,22,48232184
23168,5.756000,15356,10904,65,48535366
23296,5.793000,15311,10875,70,48816190
23424,5.768000,15569,10094,31,49101335
23552,5.800000,15648,9932,68,49349058
23680,5.838000,15930,11097,51,49685768
23808,5.856000,15923,10356,71,49895855
23936,5.926000,15963,8941,90,50290482
24064,6.041000,16091,9905,107,50513063
24192,5.984000,16159,12822,45,50839270
24320,5.999000,16391,10536,46,51148358
24448,6.076000,16573,9699,58,51442162
24576,6.113000,16316,10665,59,51734694
24704,6.142000,16624,13204,90,52025787
24832,6.282000,16746,12070,42,52344596
24960,6.175000,16751,11406,36,52618188
25088,6.251000,17236,11133,56,52984905
25216,6.281000,17290,12923,43,53240143
25344,6.275000,17094,9825,26,53519729
25472,6.349000,17624,10977,21,53836985
25600,6.464000,17719,12859,74,54216355
25728,6.393000,17621,10528,96,54529846
25856,6.500000,17998,13401,60,54794136
25984,6.459000,17886,12694,82,55064628
26112,6.530000,18295,12739,102,55374542
26240,6.521000,18079,14192,61,55583908
26368,6.668000,18224,15926,127,55884103
26496,6.621000,18449,12282,98,56164891
26624,6.616000,18432,12998,47,56446120
26752,6.706000,18788,16403,121,56740649
26880,6.720000,18632,13456,38,57033045
27008,6.729000,18740,13383,22,57337527
27136,6.786000,18898,13645,38,57614780
27264,6.832000,19188,14788,89,57916796
27392,6.864000,19224,14179,64,58252151
27520,6.906000,19629,12500,40,58586835
27648,7.008000,19193,12912,83,58933076
27776,7.017000,19677,17330,60,59158959
27904,7.002000,19739,13074,67,59445784
28032,7.028000,19687,12942,73,59675920
28160,7.061000,20103,13737,90,59943331
28288,7.095000,19986,13065,46,60194549
28416,7.258000,20397,17648,94,60497618
28544,7.148000,19980,14416,79,60746157
28672,7.243001,20469,15680,77,61043981
28800,9.572001,20619,17768,67,61329250
28928,7.246000,20673,17188,93,61517383
29056,7.290000,21004,17000,92,61816629
29184,7.281000,20632,14127,92,62156816
29312,7.353000,21192,14691,80,62430130
29440,7.452000,20955,15017,72,62735154
29568,7.412000,21240,14979,99,62980271
29696,7.496000,21528,17549,124,63314121
29824,7.467000,21157,11904,161,63562073
29952,7.554000,21486,18034,99,63869397
30080,7.530000,21288,16124,36,64144353
30208,7.638000,21766,17214,97,64544885
30336,7.663001,21740,17245,114,64835116
30464,7.730000,21983,17223,57,65112131
30592,7.722001,21882,15613,156,65343310
30720,7.765000,21832,16533,99,65643163
30848,7.902000,22177,17588,66,65944476
30976,7.800964,22166,14958,111,66167902
31104,7.879000,22329,15202,89,66473019
31232,8.003000,21831,12773,77,66841932
31360,7.950000,22610,16093,97,67178946
31488,7.983000,22106,16711,78,67431992
31616,7.956000,23089,16348,103,67711085
31744,8.029000,22835,17431,139,68019810
31872,8.169001,23438,15173,100,68297683
32000,8.118000,23523,16810,129,68608059
32128,8.144000,22779,15003,64,68830572
32256,8.178000,23700,15512,77,69167407
32384,8.212001,22890,16113,70,69415177
32512,8.230000,23407,15640,140,69680216
32640,8.277000,24188,16890,109,69934045
32768,8.314000,24101,19000,96,70215681
32896,8.301001,24030,20411,133,70485810
