Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions,Total cycles
18816,4.855000,11253,6517,352,33963229,16346088
18944,4.810000,11390,8944,220,34200809,16463752
19072,4.807000,11439,7324,116,34441179,16571057
19200,4.861000,11423,6893,268,34652118,16679922
19328,4.859000,11537,7381,157,34870963,16772575
19456,5.025000,11687,8081,231,35196113,16932210
19584,5.289000,11936,11189,3704,35464283,17172828
19712,5.103000,11951,6304,221,35728689,17210235
19840,4.997000,11926,6180,63,35992859,17290507
19968,5.045000,12166,7947,226,36227444,17428664
20096,5.107000,12338,8265,119,36462699,17560399
20224,5.164000,12568,9054,130,36700584,17662009
20352,5.284000,12606,9736,100,36956749,17786077
20480,5.352000,12621,7852,435,37290693,17951187
20608,5.722000,13169,13531,6622,37592888,18263897
20736,5.518000,12995,8362,450,37841189,18203045
20864,5.638000,12984,7570,408,38125353,18347809
20992,5.509000,13074,8350,528,38466678,18490795
21120,5.956000,13965,11417,2211,38689364,18742092
21248,5.779000,14037,13996,5569,38922913,18964022
21376,5.892000,14139,16140,6824,39213839,19086366
21504,5.828000,14208,14476,7498,39571234,19161752
21632,5.594000,13861,8976,206,39915443,19178752
21760,5.737000,13954,9584,471,40162468,19323895
21888,5.925000,14119,8888,343,40456128,19457291
22016,5.979000,13953,8750,422,40691193,19611374
22144,6.184000,14751,10652,2153,40954628,19825270
22272,6.279000,15087,15858,8170,41273603,20079597
22400,6.352000,15766,14820,6017,41523694,20075495
22528,6.210001,15221,16313,7543,41840618,20360357
22656,6.024000,15059,9916,453,42085504,20196431
22784,6.395000,15453,17108,5783,42360049,20539687
22912,6.738000,16015,18878,9398,42615464,20834202
23040,6.659000,17138,19941,11834,42866911,20919583
23168,6.708000,16729,19137,12119,43136855,21040180
23296,6.707947,16749,19349,11459,43386881,21214986
23424,6.318000,15713,14941,8759,43639483,21085134
23552,6.331000,15789,11512,819,43861049,21062565
23680,6.821000,16723,19604,12027,44160039,21483556
23808,6.442000,16197,15897,8741,44348909,21393626
23936,6.353000,16077,8932,286,44697568,21437641
24064,6.558000,16553,12152,1881,44896809,21632496
24192,6.762000,16859,15114,6218,45187364,21997748
24320,6.497000,17032,14178,363,45461445,21781995
24448,6.820000,16893,15190,3986,45723284,22150167
24576,6.679000,16969,13729,2599,45982989,22137736
24704,6.779000,16682,14702,1382,46243149,22241117
24832,6.655000,16811,10962,551,46525254,22328459
24960,6.828001,16951,13989,3008,46768840,22499650
25088,6.612000,17290,12141,228,47092825,22624940
25216,6.590000,17417,12513,137,47320529,22686947
25344,6.571000,17292,11956,154,47569148,22786308
25472,6.719000,17660,12304,192,47849699,22957907
25600,7.390000,19244,25856,15761,48185840,23602114
25728,7.179000,18411,18328,7440,48464594,23508137
25856,7.275001,19227,20949,9919,48700874,23643206
25984,7.681000,19687,25883,17185,48941009,24053462
26112,7.331000,19301,24480,13351,49217349,23979059
26240,11.354000,20225,25873,16243,49405209,24081889
26368,7.326000,19098,20282,9065,49671689,24079010
26496,7.633000,19926,23845,13886,49921279,24286957
26624,7.483000,19426,25340,11273,50170574,24323095
26752,7.822001,20239,24773,14002,50432539,24756257
26880,8.270000,20912,28736,19220,50692244,25085112
27008,7.676001,20066,21094,9143,50962635,24709065
27136,7.753000,21058,29975,19768,51209719,25208044
27264,7.706000,20761,27406,19737,51479424,25224054
27392,8.051001,20561,23652,11778,51775994,25309204
27520,7.992001,21582,30289,22132,52073739,25720756
27648,8.197001,21443,29464,20983,52381299,26012092
27776,8.005000,20865,25814,15858,52583834,25662752
27904,8.261001,20587,26700,16061,52839674,25755919
28032,7.752000,19621,16795,3289,53044579,25605617
28160,8.181001,20459,20741,9690,53282454,25860435
28288,8.172000,20772,23378,12197,53507614,25976231
28416,8.073000,21158,24374,13707,53776200,26060070
28544,7.662000,19699,14655,231,53999079,25864524
28672,8.377001,21313,20793,8493,54263634,26294812
28800,8.176001,21206,21058,12751,54517209,26314150
28928,8.343000,22253,25884,15652,54685404,26619812
29056,7.985001,20764,15162,507,54951014,26354018
29184,8.647000,22632,28608,16136,55253484,26931764
29312,8.826000,23008,24591,10942,55497433,27056428
29440,8.667001,23653,26843,11117,55766708,27036379
29568,8.369000,22422,20641,1000,55984312,26860905
29696,8.499001,22477,26467,13593,56282939,27573500
29824,8.259001,21585,18657,4692,56503529,27181695
29952,8.515000,23201,31019,19358,56777625,27663850
30080,8.104000,21700,16100,402,57022010,27313816
30208,8.592000,23362,25800,11558,57376275,27852237
30336,8.159000,21958,16108,342,57635681,27637681
30464,8.604000,23257,23596,9583,57881319,28016399
30592,8.233001,21837,17403,275,58088439,27873462
30720,8.728001,23925,25982,11524,58353395,28275401
30848,8.271001,22168,15975,338,58621551,28112604
30976,8.829000,23662,27459,12525,58821039,28529555
31104,8.365001,22569,16239,1193,59092154,28328511
31232,8.848001,24026,24651,11959,59418765,28811224
31360,8.499001,22857,18327,231,59718179,28598403
31488,9.194000,24563,27979,16237,59943320,29139784
31616,8.620001,23165,19058,911,60191474,28832243
31744,9.095000,24563,30471,15434,60467005,29335977
31872,8.627001,23527,18058,351,60714820,29103972
32000,9.238001,24947,33659,16518,60990424,29662296
32128,8.543000,23602,18761,389,61189474,29325881
32256,9.229000,25304,31399,16451,61488229,29887880
32384,8.676001,23726,17249,203,61709949,29587567
32512,9.362000,25820,32170,18049,61945965,30105955
32640,8.754001,24366,17124,194,62172580,29793502
32768,9.446000,25941,31333,16071,62422939,30414287
32896,8.714001,24241,18663,233,62663654,30036018
33024,9.705001,26527,31375,16286,62962910,30692406
33152,8.860001,24945,19179,379,63257146,30311148
33280,9.362000,26524,32814,18002,63530549,30839098
33408,8.921000,24831,17589,280,63832159,30603501
33536,9.756001,26791,31223,17506,64114919,31246339
33664,8.973001,25059,18570,311,64318899,30802470
33792,9.866000,27153,33704,19612,64518299,31510301
33920,9.061001,25266,20241,406,64763575,31005421
34048,9.933001,27804,36202,19981,65055151,31861678
34176,9.078000,25460,17742,310,65293194,31270445
34304,10.285001,27645,35133,18219,65557250,31827646
34432,9.187000,26066,19332,226,65853125,31538991
34560,9.223001,26116,20145,316,66116501,31687867
34688,9.685974,26437,22005,5590,66357031,31869879
34816,9.326000,26292,21033,348,66652145,31927400
34944,9.760000,26694,22597,7520,66859905,32120106
35072,9.446000,26393,17430,250,67124410,32154165
35200,9.306001,26648,18917,340,67399864,32277543
35328,9.358001,26940,23007,238,67726244,32440437
35456,10.255000,28645,32013,14567,67973545,32894430
35584,9.581000,27108,19864,386,68206015,32674800
35712,9.479000,27144,18732,451,68443209,32780552
35840,10.076000,27800,26556,10271,68716825,33116903
35968,9.648001,27471,23031,331,69000315,33063789
36096,9.592000,27646,23725,374,69255835,33144549
36224,10.604000,29856,40128,23577,69518845,33996145
36352,9.762000,27513,21234,307,69705365,33391876
36480,9.764001,27817,21338,208,69967394,33509887
36608,9.985001,28089,19817,235,70272105,33679953
36736,9.866000,28449,21325,226,70561156,33779316
36864,9.885000,28653,24639,145,70907631,33966375
36992,9.880000,28782,23001,315,71139700,34103773
37120,10.192000,28581,25037,947,71462739,34308542
37248,9.997001,28613,22737,408,71731709,34364708
37376,10.265000,28912,20796,2642,72001740,34505900
37504,10.163000,28995,25302,498,72214640,34625915
37632,10.147000,29072,28228,217,72503570,34733975
37760,10.627001,29710,28138,7418,72794475,35046728
37888,10.682000,30083,27232,8254,73048287,35161455
38016,11.135000,29811,30048,14955,73356344,35477964
38144,10.612000,29763,26512,1694,73597640,35315360
38272,10.719001,30226,29820,5146,73841985,35578262
38400,10.882001,30436,29113,9147,74047225,35702126
38528,10.673000,30106,24093,1189,74287660,35598328
38656,10.894000,30939,31351,10512,74524630,35895002
38784,10.632001,30742,25847,464,74769910,35817218
38912,11.421000,32448,40807,18797,75123015,36732571
39040,10.836000,30721,26019,2122,75360975,36115782
39168,10.817000,31164,27119,3933,75672700,36383610
39296,11.087001,31640,34166,11309,75896440,36599141
39424,10.885000,31029,28738,2478,76220150,36511412
39552,11.342957,31809,33876,9847,76506005,36833910
39680,10.959001,31133,27707,404,76817135,36784162
39808,10.952001,31633,29632,6614,77057374,36922548
39936,10.723001,31622,28304,317,77322145,36994018
40064,10.773001,31808,26034,357,77565935,37123731
40192,10.830001,32071,27285,336,77837890,37297008
40320,11.127001,32137,28655,8355,78099585,37447007
40448,10.897000,32010,25214,329,78350414,37531337
40576,10.961000,32455,26965,292,78620100,37661032
40704,11.023001,32142,27912,152,78896380,37801855
40832,11.021001,32424,26201,346,79142589,37887516
40960,11.109000,32702,24772,224,79517555,38084116
41088,11.177001,32850,22982,218,79825140,38246639
41216,11.211000,33088,25118,244,80197226,38425640
41344,11.228001,33473,27614,312,80409855,38518281
41472,11.290001,33247,26300,396,80743770,38659134
41600,11.289001,33502,26033,277,80997600,38770859
41728,11.274000,33465,27119,139,81304465,38908365
41856,11.471001,33884,30427,392,81658120,39083878
41984,11.429001,33774,26399,218,82058030,39282650
42112,11.434001,34270,26322,159,82346460,39386345
42240,11.509001,34352,30264,184,82533950,39524823
42368,11.572001,34493,27341,384,82816544,39633187
42496,11.552001,34795,29473,268,83053125,39757627
42624,11.571000,34862,28078,266,83322220,39870462
42752,11.577001,34943,31546,315,83618385,40024707
42880,11.678000,34928,27643,158,83933645,40175752
43008,11.732000,35357,28736,278,84341160,40396537
43136,11.834001,35574,30456,303,84618015,40504033
43264,11.866000,35496,30175,185,85027469,40727550
43392,11.880000,35531,27400,262,85280175,40823358
43520,11.869000,35849,30926,311,85541755,40942491
43648,11.971001,36089,33979,355,85836961,41086746
43776,12.013000,36027,26798,284,86190290,41248508
43904,12.113001,36192,29453,411,86476232,41383540
44032,12.213000,36141,31886,169,86749750,41497335
44160,12.145000,36203,28483,297,86994615,41624948
44288,12.144001,36814,31198,249,87266325,41760676
44416,12.127001,37165,30644,223,87613915,41922161
44544,12.226001,36991,32202,382,87919270,42047069
44672,12.319000,37095,32486,271,88251756,42207934
44800,12.319000,37420,33033,142,88546895,42366918
44928,12.294001,37401,31708,316,88804580,42450968
45056,12.405001,38029,29812,328,89132410,42637458
45184,12.405001,37739,30297,494,89355530,42729267
45312,12.459001,37709,32465,439,89651525,42881413
45440,12.455001,37842,31729,167,89896325,42955365
45568,12.485001,37963,34759,380,90214835,43113633
45696,12.607000,38294,35473,292,90454620,43231693
45824,12.661000,38646,32340,3389,90794725,43421590
45952,12.628000,38924,35613,220,91006320,43495885
46080,12.730000,38691,31853,455,91313035,43656001
46208,12.780001,39170,30153,1209,91559216,43759074
46336,12.794001,39399,31916,376,91869816,43906222
46464,12.811001,39213,33230,387,92176826,44028949
46592,12.827001,39366,33246,218,92422560,44168577
46720,12.939001,39569,31489,223,92677905,44282532
46848,12.999001,39575,31630,318,92940936,44528407
46976,12.942000,39905,31301,318,93166890,44517963
47104,13.020000,40179,33535,298,93412591,44658414
47232,12.998000,40244,31799,342,93706430,44762405
47360,13.153001,40549,32890,285,94060226,44940894
47488,13.068001,40525,34819,284,94295011,45019106
47616,13.142000,40398,31645,268,94489175,45149337
47744,13.332001,41018,33201,463,94800342,45299293
47872,13.201000,40872,33781,301,95183165,45530133
48000,13.263000,41255,33259,320,95392145,45612597
48128,13.257001,41417,34664,308,95711160,45720249
48256,13.956000,41887,38629,6626,95903816,45950017
48384,13.422001,41670,38067,339,96197231,45982428
48512,13.437000,41820,36405,278,96458776,46045596
48640,13.413001,41878,34166,232,96791800,46216116
48768,13.488001,41686,35941,327,97188115,46408982
48896,13.499001,42081,32425,255,97385865,46512063
49024,13.559001,42009,33588,169,97644525,46655223
49152,13.634001,42523,35337,347,97983340,46894357
49280,13.717001,42534,37324,320,98306511,46966590
49408,13.730000,42702,33645,369,98510201,47086632
49536,13.660001,42797,36150,331,98684851,47168035
49664,13.836000,42838,38135,7708,99055706,47352002
49792,13.795001,42957,37836,213,99341653,47462778
49920,13.743001,42918,40292,320,99561850,47545355
50048,13.819000,43411,38153,287,99773400,47651773
50176,13.880001,43765,38850,271,100212491,47855297
50304,14.507001,43570,38094,536,100492067,48069261
50432,14.093000,43880,41934,595,100742416,48123498
50560,13.904000,43603,38538,262,101028010,48241663
50688,14.072001,44029,38210,357,101290422,48368207
50816,14.002001,44069,36131,238,101628915,48474711
50944,14.184001,44167,38662,469,101836841,48606021
51072,14.143001,44100,39017,427,102180950,48764477
51200,14.227000,44590,40249,379,102587811,48939674
51328,14.293000,44538,39487,212,102868301,49117122
51456,14.403001,44967,42404,3593,103171970,49300116
51584,14.316001,44700,41658,287,103411705,49361032
51712,14.451000,45345,45185,296,103652421,49463051
51840,14.391001,45489,44044,185,103914572,49591715
51968,14.472001,45232,39875,251,104163281,49723310
52096,14.488001,45797,46082,393,104410920,49848486
52224,15.677001,48361,61656,28765,104736996,50602422
52352,15.683001,47716,55405,22862,104988186,50954822
52480,15.159000,46803,48481,18128,105184570,50447746
52608,14.617001,46160,43016,318,105473531,50329204
52736,15.046000,46564,43993,5425,105765616,50534631
52864,15.707001,48697,60908,34664,106012303,51346258
52992,14.698001,46988,40393,411,106236796,50674915
53120,14.812000,47222,41351,365,106477197,50813856
53248,15.684001,48427,55012,16991,106836222,51377044
53376,15.755001,48382,50906,15771,107100916,51684150
53504,16.144001,49918,63281,40758,107374487,52158619
53632,14.856001,47249,41231,350,107567331,51357367
53760,14.937000,47168,47566,318,107879551,51495259
53888,16.043001,49159,58344,21570,108172206,52275611
54016,16.089001,49743,60545,33141,108445991,52547995
54144,16.173000,49409,58585,25607,108671301,52571836
54272,16.340000,49939,54094,21634,108974619,52596753
54400,15.262001,48250,43475,4513,109323772,52215342
54528,15.126000,48345,42859,256,109604008,52288827
54656,16.931002,50726,66937,44021,109862758,53428429
54784,16.237001,49400,55727,26046,110217841,53169715
54912,16.372002,50144,57749,23275,110493471,53373191
55040,16.722000,50098,60946,24066,110771506,53585261
55168,16.729000,50793,59351,23901,111056417,53586767
55296,16.538000,50253,58979,26442,111426941,53762711
55424,16.895000,50255,61977,30665,111661818,53994860
55552,16.768002,51033,57947,28287,111922877,54084586
55680,17.037964,51028,63376,30316,112158894,54404045
55808,16.786001,50815,58981,26466,112417971,54259422
55936,16.671001,50725,59035,30347,112669626,54317268
56064,16.709002,50794,63338,27027,112898106,54410443
56192,16.561001,51137,60417,24719,113090846,54502553
56320,16.969000,52172,64976,33044,113416337,54792385
56448,16.915001,51920,60615,29135,113607527,54796443
56576,16.904001,52067,60164,33553,113853070,54978151
56704,16.974001,51115,60750,28136,114113712,55055563
56832,16.998001,52126,62583,27381,114439167,55225067
56960,17.133001,52416,63330,29776,114640963,55327150
57088,17.123001,52024,61011,31807,114850273,55389390
57216,17.215000,52814,63343,30440,115172067,55721673
57344,17.222000,52980,64552,38393,115470037,55806616
57472,16.685001,52195,57068,31944,115779693,55598237
57600,17.277000,52793,63681,37374,116022062,55998722
57728,17.228001,53203,61968,29531,116198957,56005669
57856,17.339001,53963,66227,38758,116428692,56496533
57984,16.963001,53088,60533,35294,116639184,56091647
58112,17.213001,53976,63393,35228,116914182,56337639
58240,17.060001,53132,61602,33423,117199977,56394477
58368,17.413000,54356,63483,26465,117590124,56616628
58496,17.341002,53819,61326,33277,117853437,56851913
58624,17.288000,53927,58677,37542,118150633,56994507
58752,17.379002,54267,61038,33524,118297808,56868710
58880,17.281000,54144,63463,33583,118647919,57076796
59008,17.301941,54143,63505,37752,118862827,57274436
59136,17.384001,55053,63744,35631,119089152,57365404
59264,17.654001,54822,64219,36733,119351492,57574775
59392,17.432001,54271,61114,30336,119743417,57698119
59520,17.712000,55439,62456,32255,120086762,57919824
59648,17.772001,55212,61359,39019,120256927,58242985
59776,17.422001,54858,55308,10952,120460827,57818564
59904,17.622002,55358,66172,40483,120792703,58279301
60032,17.564001,55274,59525,31048,121133237,58256564
60160,17.994001,56061,67019,24369,121362883,58623316
60288,17.755001,55817,64920,36282,121639588,58575958
60416,17.910002,55831,61160,32639,122081462,58931072
60544,18.079000,56397,63195,12188,122314082,58849961
60672,17.892000,55872,64687,34620,122613322,59149981
60800,17.771000,56156,62053,10961,122741206,59031324
60928,17.938002,55730,66196,38381,123124721,59421306
61056,17.856001,55627,62999,38073,123311092,59424156
61184,18.254002,56094,65681,31046,123510738,59544090
61312,17.929001,55899,64749,30772,123815187,59506203
61440,18.060001,56954,65324,38736,124163513,59793838
61568,18.125000,56630,62084,27339,124435311,59876526
61696,18.496000,57602,67355,22427,124706971,60228471
61824,18.355001,57143,65076,37279,124887466,60360048
61952,18.195002,57001,63002,33181,125162332,60383705
62080,18.141001,57242,61262,12137,125464616,60242360
62208,18.095001,57435,61637,13701,125728976,60382601
62336,18.373001,57730,64052,33842,126050217,60751828
62464,18.470001,57974,68087,13216,126394757,60739287
62592,18.419001,58088,67371,38007,126682186,60979753
62720,18.449001,58119,68499,18716,127037487,60963660
62848,18.281000,57477,63913,23376,127185297,60914988
62976,18.695002,59106,63163,34100,127503402,61434979
63104,18.485001,58004,63836,32712,127730732,61503234
63232,19.056002,59286,68649,33293,128000632,61714436
63360,18.544001,58909,66118,11803,128255757,61489040
63488,18.431002,58942,63417,15251,128589807,61688054
63616,18.724001,59695,63487,24055,128837662,61859921
63744,19.005001,59974,71574,40947,129148761,62528888
63872,18.701000,59348,63374,11349,129381457,62097602
64000,18.768002,59967,65546,12677,129692946,62285082
64128,18.685001,59778,69198,10937,129933117,62321245
64256,18.813002,59791,65773,11385,130185567,62421704
64384,18.316000,59168,58814,1465,130451976,62297090
64512,19.127001,60447,72759,41141,130762297,62988354
64640,19.149000,60484,66747,15854,131021711,62935214
