array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.2650000155;1085;997;393;16384;2380342;1589564
2176;0.2990000248;1399;1231;297;17408;2549223;1743812
2304;0.3500000238;1713;1354;317;18432;2719253;1900148
2432;0.3530000150;1665;1269;269;19456;2890366;2056498
2560;0.3690000176;1976;1161;257;20480;3062508;2215009
2688;0.4100000262;2193;1342;262;21504;3235625;2371379
2816;0.4240000248;2298;1320;255;22528;3409672;2529889
2944;0.4480000138;2413;1377;239;23552;3584606;2688417
3072;0.4750000238;2473;1383;411;24576;3760388;2849104
3200;0.6510000229;2681;1506;578;25600;3936984;2904372
3328;0.4910000265;2843;1540;568;26624;4114360;2961762
3456;0.4970000088;2932;1572;332;27648;4292488;3019170
3584;0.5040000081;3132;1568;613;28672;4471338;3078737
3712;0.5130000114;3355;1678;449;29696;4650885;3136163
3840;0.5210000277;3408;1691;444;30720;4831104;3195729
3968;0.5250000358;3607;1686;444;31744;5011975;3255313
4096;0.5320000052;3775;1789;336;32768;5193475;3317056
4224;0.5750000477;4019;1763;471;33792;5375585;3474522
4352;0.5890000463;4241;1757;443;34816;5558286;3634056
4480;0.6220000386;4464;1805;489;35840;5741561;3793608
4608;0.6410000324;4856;1898;639;36864;5925394;3955481
4736;0.6730000377;5081;1966;439;37888;6109769;4115051
4864;0.7010000348;5306;2003;372;38912;6294671;4276761
4992;0.7240000367;5469;1992;702;39936;6480087;4438489
5120;0.7460000515;5634;2073;730;40960;6666003;4602376
5248;0.7740000486;5871;2022;392;41984;6852407;4761964
5376;0.8030000329;6103;2062;483;43008;7039287;4923674
5504;0.8300000429;6200;2145;536;44032;7226631;5085402
5632;0.8540000319;6444;2174;756;45056;7414429;5260068
5760;0.8840000629;6685;2219;578;46080;7602671;5422198
5888;0.9150000215;6871;2424;553;47104;7791347;5586468
6016;0.9340000153;7118;2302;574;48128;7980446;5750756
6144;0.9590000510;6910;2250;498;49152;8169961;5917203
6272;0.9760000706;7261;2477;633;50176;8359883;5975689
6400;1.0730000734;7740;3594;643;51200;8550202;6036281
6528;0.9910000563;7610;2359;536;52224;8740912;6096887
6656;1.0020000935;7894;3116;636;53248;8932005;6159654
6784;1.0080000162;8208;2759;628;54272;9123472;6220280
6912;1.0110000372;8188;2661;497;55296;9315308;6283046
7040;1.0580000877;8905;4568;531;56320;9507505;6345832
7168;1.0240000486;8407;2699;545;57344;9700057;6410773
7296;1.0730000734;9249;3284;759;58368;9892958;6471419
7424;1.0420000553;8957;2810;998;59392;10086201;6534183
7552;1.0480000973;9311;2812;1002;60416;10279780;6596967
7680;1.1090000868;9762;3297;681;61440;10473690;6661912
7808;1.0640000105;9863;2718;670;62464;10667925;6724712
7936;1.1370000839;10361;3714;751;63488;10862480;6789657
8064;1.1030000448;10230;2780;722;64512;11057350;6854614
8192;1.1010000706;9904;3923;738;65536;11252530;7081729
8320;1.1380000114;10427;2777;654;66560;11448014;7247789
8448;1.1970000267;10862;4185;598;67584;11643799;7415798
8576;1.1890000105;10909;2798;720;68608;11839879;7583924
8704;1.2190001011;11063;2817;726;69632;12036250;7754211
8832;1.2490000725;11462;2938;704;70656;12232909;7922357
8960;1.2730000019;11781;3322;664;71680;12429850;8092643
9088;1.2980000973;12012;2874;770;72704;12627070;8262947
9216;1.4070000648;12762;5363;742;73728;12824565;8435412
9344;1.3570001125;12531;3139;749;74752;13022331;8603574
9472;1.3850001097;12757;3114;678;75776;13220364;8773860
9600;1.5080000162;13486;4949;1509;76800;13418661;8944487
9728;1.4340000153;13228;3330;1264;77824;13617218;9116628
9856;1.4710000753;13584;3482;1200;78848;13816031;9287270
9984;1.5060000420;13856;3449;810;79872;14015098;9459732
10112;5.2610001564;14554;4216;1422;80896;14214416;9632213
10240;1.6230000257;14972;5801;539;81920;14413980;9806853
10368;1.6050000191;14433;3396;818;82944;14613788;9975033
10496;1.6170001030;14579;3620;797;83968;14813837;10145319
10624;1.6540000439;14783;3485;970;84992;15014124;10315623
10752;3.7970001698;15261;5986;1015;86016;15214646;10488094
10880;1.7090001106;15426;3577;768;87040;15415401;10658408
11008;1.7290000916;15567;3978;922;88064;15616385;10830870
11136;1.9140000343;15738;5353;904;89088;15817596;11003350
11264;1.7780001163;15999;3677;1426;90112;16019031;11177989
11392;1.8160001040;16303;4056;1698;91136;16220688;11348329
11520;1.8500001431;16525;5535;1583;92160;16422564;11520791
11648;1.8630000353;16679;4102;1536;93184;16624657;11693271
11776;4.1270003319;17466;5975;1149;94208;16826964;11867912
11904;1.9640001059;17623;4553;1677;95232;17029484;12040410
12032;1.9830000401;17602;4561;1857;96256;17232213;12215048
12160;2.0260000229;18119;5050;1666;97280;17435150;12389705
12288;4.9980001450;17971;8160;1519;98304;17638292;12566521
12416;2.1180000305;18101;7424;944;99328;17841637;12628223
12544;2.0760002136;18188;6346;1014;100352;18045184;12692013
12672;2.0850000381;18610;6977;1178;101376;18248930;12755821
12800;2.1100001335;18779;7892;989;102400;18452872;12821788
12928;2.0930001736;19337;6959;1226;103424;18657010;12885614
13056;2.1260001659;19061;8025;922;104448;18861342;12951580
13184;2.0610001087;19217;4878;1066;105472;19065864;13017562
13312;2.0710000992;19375;5856;916;106496;19270576;13085705
13440;2.0950000286;19905;5636;1003;107520;19475475;13149549
13568;2.0950000286;19972;5430;954;108544;19680561;13215515
13696;2.5910000801;20475;7899;1180;109568;19885830;13281501
13824;2.2039999962;20889;6816;2005;110592;20091282;13349644
