array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
16128;2.5640001297;25358;1081;17;129024;23818810;14998075
16256;2.6750001907;25457;946;15;130048;24027437;15071290
16384;2.2360000610;26331;1151;22;131072;24236218;14917448
16512;3.0850000381;25512;1217;31;132096;24445152;15087437
16640;2.1060001850;26089;1520;28;133120;24654236;15259579
16768;2.4350001812;25973;1169;19;134144;24863471;15432051
16896;2.9240000248;26740;1284;20;135168;25072855;15606656
17024;2.4940001965;27628;1223;16;136192;25282387;15778834
17152;1.8580000401;27518;1243;23;137216;25492065;15953280
17280;2.5750000477;27659;1245;24;138240;25701889;16127743
17408;2.7720000744;28155;1342;17;139264;25911857;16304494
17536;2.7660000324;28514;1266;17;140288;26121969;16476691
17664;2.7960002422;28358;1310;13;141312;26332223;16651137
17792;2.8650002480;28724;1405;23;142336;26542619;16825600
17920;2.8440001011;29256;1426;27;143360;26753155;17002351
18048;2.8440001011;29669;1433;20;144384;26963831;17176833
18176;2.7950000763;29743;1312;26;145408;27174645;17353583
18304;2.8400001526;30135;1412;26;146432;27385596;17530350
18432;2.9100000858;30424;1395;23;147456;27596684;17709405
18560;2.9200000763;30636;1362;12;148480;27807907;17881621
18688;2.8220000267;30920;1597;32;149504;28019265;18056067
18816;2.8140001297;30989;1311;19;150528;28230756;18230530
18944;2.8820002079;31811;1444;21;151552;28442380;18407280
19072;2.9190001488;31972;1637;20;152576;28654136;18581763
19200;2.9090001583;31944;1543;20;153600;28866023;18758513
19328;2.9230000973;32210;1450;22;154624;29078040;18935280
19456;2.9200000763;32773;1573;23;155648;29290186;19114334
19584;3.6350002289;32689;1428;10;156672;29502461;19288836
19712;2.8900001049;32895;1303;15;157696;29714863;19465586
19840;4.4020004272;33224;1413;19;158720;29927392;19642353
19968;4.2480001450;33579;1453;10;159744;30140047;19821407
20096;2.8080000877;34232;1567;16;160768;30352827;19998194
20224;4.6450004578;34128;1678;21;161792;30565731;20177248
20352;2.9110002518;38734;1315;15;162816;30778758;20356319
20480;2.1809999943;34942;1225;19;163840;30991909;20537711
20608;2.2310001850;34454;1252;15;164864;31205181;20709947
20736;2.2390000820;34830;1699;14;165888;31418574;20884394
20864;2.7500002384;35031;1354;22;166912;31632088;21058856
20992;2.6160001755;35770;1469;20;167936;31845722;21235607
21120;2.4600000381;36110;1466;24;168960;32059474;21410090
21248;2.4290001392;36092;1312;22;169984;32273345;21586839
21376;2.5640001297;36245;1475;19;171008;32487334;21763607
21504;2.6730000973;36954;1602;21;172032;32701439;21942661
21632;2.7410001755;36959;1644;20;173056;32915660;22117163
21760;2.7390000820;37035;1658;17;174080;33129997;22293913
21888;2.7730002403;37289;1461;23;175104;33344449;22470680
22016;2.7660000324;37628;1595;17;176128;33559014;22649734
22144;2.8120000362;38312;1479;19;177152;33773694;22826521
22272;2.7790000439;38157;1666;20;178176;33988485;23005575
22400;2.7780001163;38680;1785;21;179200;34203390;23184647
22528;2.7570002079;38864;1602;23;180224;34418405;23366004
22656;2.7730002403;39033;1599;31;181248;34633532;23540525
22784;2.7560000420;39330;1466;13;182272;34848768;23717275
22912;2.7310001850;39391;1514;20;183296;35064114;23894042
23040;2.7330000401;39790;1463;29;184320;35279570;24073096
23168;2.8300001621;39931;1513;19;185344;35495133;24249883
23296;2.7690000534;40065;1614;31;186368;35710805;24428937
23424;2.7570002079;40355;1430;25;187392;35926584;24608008
23552;2.7280001640;40928;1394;25;188416;36142469;24789366
23680;2.7420001030;41212;1675;22;189440;36358460;24966172
23808;4.0230002403;41045;1627;19;190464;36574557;25145226
23936;2.7220001221;41586;1656;20;191488;36790759;25324297
24064;2.7350001335;41598;1514;16;192512;37007065;25505654
24192;2.7770001888;42047;1516;24;193536;37223475;25684745
24320;5.4210004807;42974;1995;23;194560;37439988;25866105
24448;5.1280002594;42902;1737;12;195584;37656604;26047479
24576;3.1010000706;43481;1670;21;196608;37873322;26231141
24704;2.8810000420;42099;1425;22;197632;38090141;26298563
24832;5.1940002441;42683;1999;22;198656;38307062;26368178
24960;5.2120003700;43321;2022;10;199680;38524083;26437809
25088;2.8570001125;43663;1729;19;200704;38741205;26509727
25216;2.8910000324;43641;1513;19;201728;38958426;26579377
25344;5.0439453125;43908;2060;23;202752;39175746;26651302
25472;7.9460005760;44725;2124;18;203776;39393164;26723232
25600;2.8870000839;44848;1784;21;204800;39610681;26797453
25728;2.9250001907;45373;1810;15;205824;39828295;26867123
25856;5.1090002060;44996;2154;18;206848;40046006;26939042
25984;5.1060004234;45381;2036;17;207872;40263814;27010976
26112;3.1330001354;46000;1772;17;208896;40481717;27085198
26240;2.9370000362;45912;1555;23;209920;40699717;27157152
26368;5.3650002480;46326;1959;19;210944;40917812;27231375
26496;5.3530001640;46326;1903;19;211968;41136001;27305614
26624;3.1470000744;46955;2032;21;212992;41354285;27382140
26752;2.9720001221;47774;1938;8;214016;41572662;27451829
26880;5.0650000572;47471;2018;18;215040;41791133;27523748
27008;5.1960000992;47788;1918;20;216064;42009697;27595682
27136;3.1780002117;47975;1695;18;217088;42228353;27669903
27264;3.2370002270;48750;1775;18;218112;42447101;27741859
27392;4.8590002060;48025;2028;25;219136;42665941;27816081
27520;4.3770003319;48565;1950;21;220160;42884872;27890320
27648;2.9870002270;49447;1903;13;221184;43103894;27966845
27776;3.0170001984;49122;1754;25;222208;43323006;28038819
27904;5.4850001335;49467;2041;16;223232;43542208;28113043
28032;5.1500000954;50273;2069;13;224256;43761500;28187282
28160;3.7610001564;50239;1969;28;225280;43980881;28263806
28288;3.0280001163;50476;1765;19;226304;44200350;28338065
28416;4.7570004463;50486;2025;15;227328;44419908;28414592
28544;4.2900004387;51217;2133;9;228352;44639553;28491136
28672;3.1580002308;51694;1805;17;229376;44859286;28569965
28800;3.0730001926;51279;2021;21;230400;45079106;28639672
28928;3.6220002174;51282;1940;11;231424;45299013;28711591
29056;3.0390000343;51629;2018;21;232448;45519006;28783526
29184;3.0520000458;52470;2008;15;233472;45739086;28857748
29312;4.7960000038;52835;2097;16;234496;45959250;28929704
29440;5.0770001411;53044;2358;25;235520;46179500;29003926
29568;3.4600002766;52926;2383;21;236544;46399835;29078164
29696;3.4250001907;53858;2125;16;237568;46620254;29154690
29824;4.8970003128;53765;2142;20;238592;46840758;29226664
29952;4.2490000725;53821;2162;18;239616;47061345;29300886
30080;3.3040001392;53987;2114;19;240640;47282015;29375125
30208;3.1050002575;54871;1929;19;241664;47502769;29451651
30336;5.1010003090;55095;2352;19;242688;47723605;29525910
30464;4.6760001183;54764;2017;23;243712;47944523;29602436
30592;4.4270000458;55228;2280;19;244736;48165524;29678979
30720;3.3510000706;56719;1873;19;245760;48386606;29757809
30848;4.8360004425;56369;2367;22;246784;48607769;29829802
30976;5.3250002861;55500;2143;16;247808;48829014;29904024
31104;3.1400001049;55853;2274;15;248832;49050339;29978263
31232;3.1450002193;57389;2253;23;249856;49271744;30054789
31360;4.9220004082;57286;2357;24;250880;49493229;30129048
31488;4.8750000000;56890;2401;20;251904;49714794;30205574
31616;4.1119999886;56772;2417;24;252928;49936439;30282117
31744;3.1640000343;58352;2052;26;253952;50158162;30360946
31872;5.2170004845;58202;2621;23;254976;50379964;30435225
32000;3.2040002346;57927;1802;22;256000;50601844;30511750
32128;3.1840002537;57852;2119;20;257024;50823802;30588293
32256;5.5030002594;60262;2540;22;258048;51045838;30667125
32384;5.0690002441;59643;2446;11;259072;51267952;30743687
32512;4.4430003166;59774;2358;22;260096;51490143;30822517
32640;3.5260002613;60387;2289;19;261120;51712410;30901364
32768;4.8580002785;61541;2098;10;262144;51934754;30982498
32896;5.7420001030;59506;2499;19;263168;52157174;31155835
33024;3.7670001984;59858;2351;24;264192;52379670;31331304
33152;3.3030002117;60357;2367;23;265216;52602242;31506791
33280;5.0020003319;61129;2450;14;266240;52824889;31684566
33408;5.6920003891;62551;2380;15;267264;53047611;31860072
33536;3.6940002441;61522;2287;24;268288;53270408;32037846
33664;3.3760001659;62142;2415;21;269312;53493279;32215643
33792;5.0720000267;62339;2523;18;270336;53716225;32395716
33920;6.2860002518;63417;2435;23;271360;53939244;32571241
34048;3.4360001087;63502;2436;25;272384;54162337;32749015
34176;3.5000002384;62622;2237;28;273408;54385504;32926805
34304;3.4770002365;63576;2147;15;274432;54608743;33106884
34432;3.5190000534;64792;2699;23;275456;54832056;33284695
34560;3.5310001373;64539;2430;23;276480;55055440;33464773
34688;5.9620003700;64256;2467;25;277504;55278898;33644868
34816;3.5350000858;64976;2160;15;278528;55502427;33827250
34944;3.9530000687;66368;2733;28;279552;55726028;34002795
35072;5.8670001030;66174;2657;28;280576;55949700;34180570
35200;3.5940001011;65462;2631;22;281600;56173443;34358360
35328;5.1450004578;66643;2493;25;282624;56397258;34538440
35456;5.2550001144;67000;2533;24;283648;56621143;34716249
35584;3.6680002213;66758;2622;9;284672;56845099;34896327
35712;4.9180002213;67014;2749;24;285696;57069125;35076423
35840;5.7600002289;68170;2804;16;286720;57293220;35258806
35968;3.7540001869;67781;2967;27;287744;57517386;35436634
36096;5.1890001297;68496;2729;24;288768;57741621;35616713
36224;5.3080000877;68278;2533;16;289792;57965925;35796807
36352;3.8030002117;69226;2410;18;290816;58190298;35979190
36480;5.4350004196;69499;2883;24;291840;58414739;36159305
36608;5.1090002060;69245;2781;17;292864;58639249;36341686
36736;3.8330001831;70134;2319;28;293888;58863828;36524085
36864;6.0180001259;70359;2419;29;294912;59088474;36708772
36992;3.9030001163;70627;2751;18;295936;59313188;36884335
37120;5.1890001297;70514;2742;16;296960;59537970;37062109
37248;6.6060004234;70954;2699;15;297984;59762819;37239900
37376;4.2430000305;71743;2653;16;299008;59987735;37419978
37504;4.0690002441;71609;2624;21;300032;60212718;37597789
37632;3.9600002766;71898;2569;19;301056;60437767;37777867
37760;3.9750001431;72161;2680;18;302080;60662883;37957962
37888;3.9980001450;72468;2653;18;303104;60888065;38140344
38016;4.0980000496;72728;2750;19;304128;61113313;38318174
38144;4.0460000038;72833;2765;26;305152;61338626;38498252
38272;4.1010003090;73051;2496;20;306176;61564005;38678347
38400;4.0740003586;74161;2615;24;307200;61789449;38860729
38528;4.1330003738;74129;3100;16;308224;62014959;39040844
38656;4.1100001335;74126;2887;15;309248;62240533;39223226
38784;4.1310000420;74416;3016;24;310272;62466172;39405625
38912;4.1490001678;75409;2659;21;311296;62691875;39590311
39040;4.2210001945;75364;2873;22;312320;62917642;39768160
39168;4.2000002861;75551;3035;21;313344;63143473;39948238
39296;4.2130002975;75845;2844;18;314368;63369368;40128333
39424;4.2369999886;76030;2968;16;315392;63595327;40310715
39552;4.8950004578;76428;3026;23;316416;63821349;40490831
39680;4.9780001640;77097;3115;22;317440;64047434;40673212
39808;5.1630001068;76948;2977;19;318464;64273582;40855611
39936;4.5140004158;77568;2964;27;319488;64499793;41040297
40064;6.2370004654;78057;2840;10;320512;64726066;41220431
40192;4.3820004463;77808;2760;23;321536;64952402;41402813
40320;6.2530002594;78309;2957;27;322560;65178800;41585212
40448;4.3840003014;78548;3144;18;323584;65405259;41769898
40576;5.9890003204;79239;2944;25;324608;65631781;41952317
40704;4.4220004082;78924;2879;22;325632;65858364;42137003
40832;6.2550001144;79825;2923;26;326656;66085008;42321706
40960;4.4520001411;81520;2652;32;327680;66311714;42508696
41088;6.4520001411;79916;3204;31;328704;66538481;42684279
41216;4.5010004044;79911;3214;20;329728;66765308;42862053
41344;5.9930005074;80351;2908;25;330752;66992196;43039844
41472;7.0790004730;80643;2977;17;331776;67219144;43219922
41600;4.6060004234;80756;3064;20;332800;67446153;43397733
41728;4.5860004425;80484;2842;18;333824;67673221;43577811
41856;6.1260004044;81889;3394;19;334848;67900350;43757906
41984;4.6300001144;81810;2869;24;335872;68127538;43940288
42112;4.6980004311;82348;3267;10;336896;68354785;44118118
42240;4.6710000038;81574;2963;30;337920;68582092;44298196
42368;4.6850004196;82513;3264;20;338944;68809458;44478291
