array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
15872;1.5650000572;7407;706;24;126976;88172134400;6886245
16000;1.6940001249;7744;594;26;128000;89600000000;6642000
16128;1.6020001173;9791;756;28;129024;91039334400;7008130
16256;1.6520000696;9615;478;23;130048;92490137600;7073986
16384;1.3790000677;9590;611;30;131072;93952409600;7025254
16512;1.1090000868;8884;627;21;132096;95426150400;7101807
16640;1.6620000601;10308;676;25;133120;96911360000;7255702
16768;1.8520001173;9056;516;26;134144;98408038400;7405659
16896;1.3370000124;10495;836;21;135168;99916185600;7440712
17024;1.2160000801;8037;745;29;136192;101435801600;7307893
17152;1.7060000896;9096;584;22;137216;102966886400;7267132
17280;1.7270001173;10153;561;20;138240;104509440000;7656303
17408;1.2620000839;10248;507;27;139264;106063462400;7708665
17536;1.8930001259;10828;551;21;140288;107628953600;7515784
17664;1.9600000381;9149;669;23;141312;109205913600;7524480
17792;3.1860001087;9654;469;21;142336;110794342400;7761840
17920;1.3990000486;10652;721;11;143360;112394240000;7856204
18048;1.4290000200;10236;543;29;144384;114005606400;7844818
18176;1.4170000553;9061;683;21;145408;115628441600;7607682
18304;1.9990000725;11302;563;16;146432;117262745600;7968434
18432;1.8670001030;10759;574;23;147456;118908518400;7957928
18560;1.9820001125;9782;547;22;148480;120565760000;7850385
18688;2.7760000229;13303;609;21;149504;122234470400;8525379
18816;2.2120001316;11333;764;18;150528;123914649600;8158623
18944;1.8780001402;9471;671;24;151552;125606297600;8017953
19072;1.2280000448;9975;616;22;152576;127309414400;8239326
19200;2.6550002098;12875;681;22;153600;129024000000;8511666
19328;2.6150000095;9940;668;23;154624;130750054400;8330130
19456;1.2570000887;11135;562;16;155648;132487577600;8416361
19584;2.9490001202;12888;760;23;156672;134236569600;8503003
19712;1.9750001431;10536;702;25;157696;135997030400;8394906
19840;2.0400002003;12933;702;24;158720;137768960000;8733620
19968;1.3890000582;12135;555;28;159744;139552358400;8744326
20096;1.6360000372;12964;614;19;160768;141347225600;9031018
20224;1.6620000601;11077;602;26;161792;143153561600;8629500
20352;2.2760000229;12872;687;24;162816;144971366400;9084586
20480;1.3200000525;11599;524;26;163840;146800640000;8966773
20608;2.3120000362;12431;798;16;164864;148641382400;9165749
20736;1.7840000391;15945;779;28;165888;150493593600;9384398
20864;2.0659999847;10826;619;22;166912;152357273600;8838355
20992;2.0090000629;10664;683;32;167936;154232422400;8824385
21120;1.9000000954;13685;607;22;168960;156119040000;9299469
21248;2.0900001526;13021;807;19;169984;158017126400;9191603
21376;1.8260000944;13867;830;24;171008;159926681600;9419883
21504;1.8120000362;13158;647;24;172032;161847705600;9453111
21632;2.2030000687;16744;663;25;173056;163780198400;9789949
21760;1.3920000792;12259;650;20;174080;165724160000;9415539
21888;2.4620001316;14191;897;15;175104;167679590400;9720381
22016;1.7490000725;13378;873;25;176128;169646489600;9613378
22144;2.3310000896;16397;609;28;177152;171624857600;9967681
22272;2.2660000324;16338;645;22;178176;173614694400;10167876
22400;2.2160000801;13458;886;28;179200;175616000000;9730208
22528;2.1090002060;14640;767;21;180224;177628774400;10012476
22656;1.6600000858;11878;852;26;181248;179653017600;9665918
22784;2.1410000324;12574;823;26;182272;181688729600;10030900
22912;2.2060000896;13719;810;24;183296;183735910400;10013656
23040;2.3090000153;13794;661;30;184320;185794560000;10090936
23168;2.3420000076;13686;827;29;185344;187864678400;9980767
23296;2.3740000725;15053;695;28;186368;189946265600;10153037
23424;2.3820002079;13550;714;22;187392;192039321600;10422415
23552;2.2460000515;14065;718;17;188416;194143846400;10256943
23680;2.2050001621;14322;821;28;189440;196259840000;10319838
23808;2.2460000515;15869;928;24;190464;198387302400;10462505
23936;2.2840001583;16838;885;19;191488;200526233600;10625523
24064;2.2680001259;15134;759;18;192512;202676633600;10508070
24192;2.2900002003;14615;817;30;193536;204838502400;10578060
24320;2.3560001850;16603;876;21;194560;207011840000;11016112
24448;2.2350001335;14030;775;32;195584;209196646400;10499226
24576;2.3350000381;17498;783;32;196608;211392921600;11029838
24704;2.2540001869;14316;972;19;197632;213600665600;10685643
24832;2.2250001431;15088;834;27;198656;215819878400;10706218
24960;2.2620000839;15112;842;24;199680;218050560000;10797150
25088;2.3250000477;16125;831;27;200704;220292710400;11088723
25216;2.2950000763;15106;1031;32;201728;222546329600;10954737
25344;2.2860000134;15196;835;28;202752;224811417600;11159454
25472;2.2760000229;15836;789;20;203776;227087974400;11332215
25600;2.3570001125;19688;886;24;204800;229376000000;11690419
25728;2.3630001545;18910;961;11;205824;231675494400;11515053
25856;2.3620002270;21522;905;17;206848;233986457600;11941832
25984;2.1830000877;17236;1045;20;207872;236308889600;11404273
26112;2.2750000954;19268;921;19;208896;238642790400;11783436
26240;2.2980000973;17598;844;23;209920;240988160000;11855671
26368;2.2750000954;16625;857;29;210944;243344998400;11512704
26496;2.3230001926;15592;930;27;211968;245713305600;11586475
26624;2.3420000076;18397;763;17;212992;248093081600;11913238
26752;2.3640000820;19355;938;13;214016;250484326400;12105135
26880;2.3280000687;17729;915;19;215040;252887040000;11875209
27008;2.3170001507;16650;791;21;216064;255301222400;12040986
27136;2.3640000820;21121;955;20;217088;257726873600;12488003
27264;2.2700002193;19693;1108;22;218112;260163993600;12177307
27392;1.7800000906;16964;891;21;219136;262612582400;11962431
27520;3.4110002518;22089;889;29;220160;265072640000;12556717
27648;1.9350000620;15934;920;20;221184;267544166400;11985342
27776;2.3350000381;22745;988;15;222208;270027161600;12866175
27904;1.8420001268;18872;753;22;223232;272521625600;12492035
28032;1.9200000763;18650;751;23;224256;275027558400;12557573
28160;2.6310000420;22110;1095;19;225280;277544960000;12887862
28288;2.7860000134;20153;1034;23;226304;280073830400;12796541
28416;1.8700001240;18705;742;17;227328;282614169600;12582074
28544;2.7500002384;21699;947;31;228352;285165977600;13077035
28672;2.2060000896;24235;959;22;229376;287729254400;13243331
28800;2.7950000763;22435;943;20;230400;290304000000;13288689
28928;3.5080001354;18831;630;16;231424;292890214400;12939540
29056;2.2039999962;21187;1133;28;232448;295487897600;13197472
29184;3.1000001431;19096;1154;21;233472;298097049600;13167220
29312;1.9490001202;20464;924;30;234496;300717670400;13125713
29440;2.3250000477;18347;912;21;235520;303349760000;12783792
29568;2.4860000610;21672;781;26;236544;305993318400;13345040
29696;2.0080001354;22490;837;26;237568;308648345600;13589661
29824;1.9700001478;19279;730;24;238592;311314841600;13299897
29952;1.9560000896;20558;669;19;239616;313992806400;13212620
30080;2.0610001087;25015;750;21;240640;316682240000;13980448
30208;2.0730001926;25552;1004;23;241664;319383142400;14039690
30336;2.3930001259;21333;1075;23;242688;322095513600;13606848
30464;2.1640000343;29881;1135;20;243712;324819353600;14710643
30592;4.0560002327;19605;834;25;244736;327554662400;13456425
30720;3.8100001812;21721;1016;18;245760;330301440000;13971667
30848;1.9860000610;17747;669;22;246784;333059686400;13387155
30976;2.0930001736;24025;916;21;247808;335829401600;14148949
31104;3.5760002136;20454;986;14;248832;338610585600;13656841
31232;2.8980002403;18236;1146;14;249856;341403238400;13665935
31360;3.3700001240;21709;792;22;250880;344207360000;14082989
31488;3.6140000820;21806;1193;26;251904;347022950400;13835346
31616;2.1150000095;23818;762;18;252928;349850009600;14324207
31744;2.1470000744;24929;844;18;253952;352688537600;14592336
31872;2.1260001659;22922;899;23;254976;355538534400;14323675
32000;2.8490002155;23240;782;25;256000;358400000000;14474108
32128;2.2670001984;22343;751;24;257024;361272934400;14214636
32256;3.2800002098;24254;963;16;258048;364157337600;14587122
32384;2.4120001793;22989;791;22;259072;367053209600;14431736
32512;3.2930002213;28194;799;21;260096;369960550400;15231189
32640;2.4590001106;26035;891;19;261120;372879360000;15143880
32768;3.3030002117;22080;670;26;262144;375809638400;14703848
32896;2.3110001087;21551;1049;19;263168;378751385600;14491512
33024;3.1970002651;25066;951;25;264192;381704601600;15203463
33152;2.2110002041;23352;797;23;265216;384669286400;14958834
33280;3.0820002556;23589;939;20;266240;387645440000;15145228
33408;2.2210001945;23326;822;23;267264;390633062400;15049649
33536;3.3980002403;29315;1067;17;268288;393632153600;15657731
33664;2.2740001678;23137;851;14;269312;396642713600;15054196
33792;3.4130001068;24128;787;16;270336;399664742400;15206224
33920;2.4880001545;21314;818;18;271360;402698240000;14908939
34048;3.3530001640;24415;891;28;272384;405743206400;15420859
34176;2.6370000839;24613;976;25;273408;408799641600;15387164
34304;2.2280001640;21895;970;27;274432;411867545600;14995605
34432;2.2480001450;23563;763;21;275456;414946918400;15191812
34560;2.3570001125;26992;738;18;276480;418037760000;15976641
34688;4.2600002289;26433;952;24;277504;421140070400;15765975
34816;4.1480002403;23883;890;22;278528;424253849600;15583172
34944;2.7710001469;23878;1131;21;279552;427379097600;15671553
35072;2.2920000553;22318;834;22;280576;430515814400;15464726
35200;3.9290001392;28779;1131;13;281600;433664000000;16298912
35328;3.3120002747;22936;1155;23;282624;436823654400;15734827
35456;2.3580000401;26265;739;29;283648;439994777600;15997787
35584;2.3760001659;24748;781;19;284672;443177369600;16058331
35712;4.4440002441;30337;986;21;285696;446371430400;16902963
35840;3.8780002594;28024;1267;17;286720;449576960000;16461174
35968;3.2200002670;27975;1167;16;287744;452793958400;16291040
36096;2.4210000038;25483;904;18;288768;456022425600;16352074
36224;3.9130001068;23373;1245;22;289792;459262361600;16263674
36352;3.5480000973;24438;1180;23;290816;462513766400;16235987
36480;2.4500000477;27026;878;16;291840;465776640000;16568508
36608;2.4520001411;28051;808;23;292864;469050982400;16616131
36736;4.2860002518;32245;1022;26;293888;472336793600;16907627
36864;4.0610003471;31673;1191;14;294912;475634073600;17224676
36992;3.2180001736;25387;1176;21;295936;478942822400;16795305
37120;2.5610001087;30626;903;15;296960;482263040000;17368251
37248;4.0690002441;26856;1037;29;297984;485594726400;16870464
37376;3.8510000706;29294;1053;24;299008;488937881600;17291135
37504;2.5860002041;31952;888;22;300032;492292505600;17549431
37632;2.5700001717;30829;1028;31;301056;495658598400;17352849
37760;4.1200003624;29506;1326;18;302080;499036160000;17249384
37888;3.8020002842;26759;990;25;303104;502425190400;16907114
38016;3.5330002308;29315;1244;19;304128;505825689600;17376991
38144;2.7420001030;29813;964;24;305152;509237657600;17863184
38272;3.9580001831;31139;1144;22;306176;512661094400;17617609
38400;6.7090001106;27829;1342;16;307200;516096000000;17369775
38528;2.6300001144;29096;867;27;308224;519542374400;17871696
38656;2.6150000095;30323;858;19;309248;523000217600;17742234
38784;4.3140001297;27880;1048;22;310272;526469529600;17569074
38912;3.7940001488;33398;1208;20;311296;529950310400;17962980
39040;4.0910000801;31684;1087;26;312320;533442560000;18233319
39168;3.4010002613;28477;1172;25;313344;536946278400;17715699
39296;3.3700001240;30522;1081;17;314368;540461465600;17969144
39424;4.0199999809;31565;1164;24;315392;543988121600;18151544
39552;3.4830002785;26505;1095;18;316416;547526246400;17748821
39680;2.6700000763;28602;1137;13;317440;551075840000;18036971
39808;3.5810000896;28620;1362;21;318464;554636902400;17917040
39936;3.5460002422;32395;1307;20;319488;558209433600;18547002
40064;3.3350002766;33939;1243;27;320512;561793433600;18847864
40192;4.1370000839;31093;1095;24;321536;565388902400;18397482
40320;2.6660001278;28720;1116;28;322560;568995840000;17981194
40448;2.8700001240;40551;999;14;323584;572614246400;19590697
40576;2.7670001984;32266;996;20;324608;576244121600;18759755
40704;2.7150001526;30113;1332;23;325632;579885465600;18348019
40832;3.4600002766;30397;1297;22;326656;583538278400;18715449
40960;4.3900003433;32464;1206;18;327680;587202560000;18892061
41088;3.6910002232;31421;1319;27;328704;590878310400;18690776
41216;2.8670001030;35834;1104;12;329728;594565529600;19446308
41344;2.7530000210;26764;1180;31;330752;598264217600;18485559
41472;4.0060000420;30913;1223;15;331776;601974374400;18881038
41600;3.9130001068;34882;1238;13;332800;605696000000;19313275
41728;4.1940002441;34110;1168;25;333824;609429094400;19395432
41856;3.7170002460;33842;1289;21;334848;613173657600;19458133
41984;2.8080000877;31799;1049;27;335872;616929689600;19039903
42112;2.9020001888;35023;1472;27;336896;620697190400;19611639
