array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.2520000041;543;916;607;16384;1468006400;779146
2176;0.3130000234;535;896;77;17408;1657241600;820309
2304;0.3390000165;605;1046;687;18432;1857945600;892466
2432;0.3460000157;611;1029;34;19456;2070118400;918713
2560;0.2420000136;624;1008;76;20480;2293760000;958068
2688;0.2100000083;641;1129;91;21504;2528870400;1050256
2816;0.2350000143;665;1214;81;22528;2775449600;1181228
2944;0.2310000062;644;1137;76;23552;3033497600;1150234
3072;0.2380000055;677;1184;65;24576;3303014400;1193589
3200;0.2450000048;681;1257;49;25600;3584000000;1262167
3328;0.2520000041;711;1214;41;26624;3876454400;1296888
3456;0.2630000114;744;1182;55;27648;4180377600;1363125
3584;0.2870000005;807;1446;54;28672;4495769600;1431479
3712;0.3680000305;792;1330;954;29696;4822630400;1461311
3840;0.4120000303;849;1500;34;30720;5160960000;1672166
3968;0.4040000141;904;1487;105;31744;5510758400;1624846
4096;0.3950000107;875;1575;62;32768;5872025600;1580611
4224;0.3550000191;968;1587;63;33792;6244761600;1667185
4352;0.3420000076;957;1578;104;34816;6628966400;1714431
4480;0.3520000279;1146;1590;70;35840;7024640000;1832986
4608;0.3580000103;1350;1641;40;36864;7431782400;1861444
4736;0.4230000079;1617;2590;98;37888;7850393600;1904034
4864;0.3710000217;1473;1760;81;38912;8280473600;1924168
4992;0.3790000081;1163;1737;36;39936;8722022400;1974111
5120;0.3970000148;1400;1912;63;40960;9175040000;2071555
5248;0.4040000141;1325;1924;95;41984;9639526400;2110278
5376;0.4120000303;1341;1850;83;43008;10115481600;2144711
5504;0.4340000153;1662;1997;132;44032;10602905600;2200766
5632;0.4370000064;1469;1929;63;45056;11101798400;2283626
5760;0.4430000186;1490;2078;128;46080;11612160000;2300205
5888;0.4580000341;1958;1995;118;47104;12133990400;2389214
6016;0.4800000191;1602;1981;31;48128;12667289600;2518852
