Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
21760,17.459002,45491,40482,2838,124395168
21888,17.524000,45494,38012,2385,125201260
22016,17.683001,46346,44475,3055,126000036
22144,17.773001,45431,39901,1978,126806130
22272,17.868000,46157,42873,2760,127605042
22400,18.741001,54616,59844,27735,128404098
22528,18.151001,47159,49332,1644,129195553
22656,18.220001,47811,46338,2062,130008692
22784,18.319000,46727,42842,6342,130814645
22912,19.114000,59164,56431,7877,131620596
23040,18.480001,46643,36245,1355,132419371
23168,18.705002,50726,47417,3824,133225466
23296,18.830002,51678,49269,4917,134024378
23424,18.864000,48432,39962,1123,134823429
23552,18.961000,49306,45274,2547,135615160
23680,20.082001,53537,68764,13829,136421254
23808,19.118000,48099,36821,1592,137220166
23936,19.224001,48160,38486,1932,138018769
24064,19.377001,48939,42816,4926,138810503
24192,19.491001,49570,43112,3256,139609559
24320,19.621000,49613,42218,3311,140401429
24448,19.796001,50168,42096,3159,141193442
24576,19.820002,50653,42059,2395,141977851
24704,20.071001,49358,37949,3460,142797883
24832,20.210001,51057,40688,3690,143610876
24960,20.244001,52021,44136,3762,144424199
25088,20.280001,50885,42673,2164,145230013
25216,20.393002,53104,43656,3203,146043147
25344,20.478001,52501,43186,2076,146849099
25472,20.627001,53443,49544,2803,147655191
25600,20.793001,54255,50792,5076,148453822
25728,20.897001,56348,51312,5051,149266957
25856,21.004002,55386,50508,2302,150072908
25984,21.083000,55778,52757,2377,150879001
26112,21.256001,55592,58977,3440,151677775
26240,21.401001,57463,56780,2652,152483869
26368,21.465000,56717,53932,3201,153282780
26496,21.553001,58214,52771,3515,154081832
26624,21.759001,57934,56267,4108,154873281
26752,21.746000,56067,48585,2459,155686420
26880,21.883001,57394,57399,2263,156492372
27008,22.040001,58253,52438,3197,157298465
27136,22.104002,58350,52901,2810,158097239
27264,22.283001,61114,60374,5430,158903332
27392,22.337002,60239,57908,4527,159702244
27520,22.423000,59120,55666,3366,160501296
27648,22.486002,57801,54298,2796,161292887
27776,22.783001,61152,55478,5950,162098982
27904,22.767000,59809,53415,3237,162897893
28032,22.987001,59685,49740,3739,163696947
28160,23.074001,60235,51866,2958,164488681
28288,23.098001,61956,56095,5140,165287735
28416,23.421001,61483,53159,10132,166079607
28544,24.761002,63699,57696,7844,166864512
28672,23.678001,61225,51930,3252,167655883
28800,23.481001,60435,53147,3474,168468872
28928,23.522001,59788,43723,3578,169274824
29056,24.667002,64027,59257,8201,170080918
29184,23.859001,62952,54373,4557,170879691
29312,24.269001,64811,61473,4652,171685645
29440,24.007002,63165,50020,3864,172484556
29568,24.154001,64861,55903,4177,173283466
29696,24.250002,63085,54947,3894,174075058
29824,24.465002,64733,58602,4332,174881152
29952,26.260002,66958,64434,6936,175680065
30080,25.211000,66897,59706,6690,176479123
30208,24.746000,64452,60106,5540,177270990
30336,24.728001,64840,56835,6383,178070040
30464,24.945002,65726,57633,3930,178861913
30592,25.107000,67810,60626,5429,179653926
30720,25.100000,67603,60690,3651,180438475
30848,25.373001,68006,62922,4910,181244571
30976,25.471001,67322,57633,5642,182043483
31104,25.445002,68173,59754,9506,182842533
31232,25.709002,68948,64175,13789,183634269
31360,25.793945,68067,55822,5338,184433320
31488,25.706001,69710,60813,6501,185225190
31616,26.436001,71743,68498,10204,186010090
31744,26.111002,69051,57445,4311,186801752
31872,26.145000,69135,63627,4400,187600805
32000,26.200001,69969,61929,4081,188392678
32128,26.380001,72993,74076,5791,189184550
32256,26.342001,71446,62152,4214,189969250
32384,29.012001,91386,102327,21141,190761270
32512,26.702002,72667,71203,4337,191546093
32640,26.710001,73278,73011,10472,192330924
32768,26.782001,72004,74032,2994,193108289
32896,27.032001,76262,74742,6378,193987205
33024,27.085001,74186,70034,3969,194859075
33152,27.752001,78449,76148,6319,195758594
33280,27.341002,75711,74595,8316,196651075
33408,27.548002,74459,74846,9641,197516080
33536,27.670002,73205,69143,7518,198380972
33664,27.781002,74167,69092,12189,199245803
33792,28.323975,73260,68482,5906,200103459
33920,28.009001,73311,72156,4695,200975472
34048,32.806000,74626,67009,3481,201840306
34176,28.228001,74491,69561,3440,202705137
34304,28.432001,76362,75172,6455,203562932
34432,28.465002,75413,66411,3989,204427902
34560,28.638000,75750,74744,5670,205285693
34688,28.830002,78244,77405,8907,206143486
34816,29.023001,78221,67459,5972,206993959
34944,29.150002,77764,75570,5656,207865973
35072,29.269001,78016,70671,6960,208730805
35200,29.422001,79355,75446,6836,209595637
35328,29.410002,78606,67796,5229,210453431
35456,29.543001,79360,75841,7136,211318401
35584,30.802002,85742,79377,17293,212176196
35712,30.946001,83990,85060,10433,213033986
35840,29.985001,81066,80563,11469,213884600
35968,30.160002,81410,83597,16793,214749432
36096,30.217957,81763,79221,8300,215607224
36224,31.046001,83050,77555,8028,216465018
36352,30.577002,81953,78587,8665,217315770
36480,31.485001,83604,77440,7917,218173703
36608,30.789001,83134,84169,9928,219024454
36736,31.029001,85361,83348,16578,219875206
36864,31.033001,84111,73820,7104,220718498
36992,31.457001,85246,81462,5303,221590369
37120,31.555002,88225,86755,11912,222455202
37248,32.265003,88118,90532,15122,223320033
37376,31.427002,85251,83272,9452,224177826
37504,31.610001,87984,90108,10326,225042799
37632,32.036003,88155,84483,8623,225900590
37760,31.955002,91185,88393,14045,226758386
37888,31.915001,89737,84656,6840,227608997
38016,32.187000,88769,92799,19297,228473971
38144,32.225002,88376,94966,17379,229331764
38272,32.948975,90066,82461,5816,230189555
38400,32.296001,88614,85665,6667,231040308
38528,32.525002,89254,89121,6832,231898240
38656,32.611000,89722,84454,7748,232748994
38784,32.769001,93764,87578,6344,233599745
38912,32.889000,94255,90389,4697,234443321
39040,32.979000,91068,94746,8709,235308294
39168,33.302002,94851,95298,10485,236166086
39296,33.238003,96863,102476,8317,237023878
39424,33.325001,94336,92852,5124,237874631
39552,33.533001,95087,101721,13462,238732562
39680,33.587002,96367,93081,6711,239583314
39808,33.723003,95573,92546,7611,240434067
39936,33.762001,90939,91353,7360,241277642
40064,34.777000,95249,88241,12109,242135577
40192,35.118000,106076,125281,37173,242986327
40320,34.113003,98615,89947,8463,243837088
40448,34.632000,103157,107565,15739,244680795
40576,34.428001,95505,90810,5658,245531546
40704,36.384003,104821,111560,28939,246375260
40832,34.538002,97340,89128,7795,247218970
40960,34.758003,93321,93765,7811,248055221
41088,34.825001,92886,89771,10348,248927093
41216,35.083000,97973,92632,11108,249791925
41344,35.209003,98794,99909,6676,250656757
41472,35.199001,98153,95672,7854,251514550
41600,35.279003,100137,96528,7892,252379522
41728,35.496002,102635,101349,13430,253237314
41856,36.276001,104480,126863,28269,254095108
41984,35.861000,103426,110359,15608,254945861
42112,36.319000,103372,103721,16440,255810835
42240,35.883003,101881,96288,8895,256668626
42368,36.111000,103559,104417,17841,257526418
42496,36.887001,108225,109812,14675,258377176
42624,36.209003,101779,100823,8495,259235104
42752,36.359001,103014,99939,7988,260085856
42880,36.491001,101052,93886,7037,260936607
43008,36.572002,101788,93919,8456,261780168
43136,36.782001,103779,106890,11788,262645143
43264,36.835003,101670,100264,9708,263502936
43392,36.987003,105337,96922,11637,264360726
43520,37.165001,105126,104025,8370,265211481
43648,37.182003,105459,100375,8943,266069411
43776,37.623001,110118,122705,31141,266920163
43904,37.420002,105588,106571,11171,267770916
44032,37.457001,105334,96793,14142,268614490
44160,37.700001,107567,110382,18835,269472425
44288,37.727001,107847,101391,12732,270323178
44416,37.981003,108780,117749,14535,271173930
44544,37.950001,106997,100720,10627,272017642
44672,37.993000,107661,98499,10565,272868533
44800,38.180000,108869,102100,10465,273712247
44928,38.303001,109964,97144,8225,274555959
45056,38.595001,110927,109989,15166,275392231
45184,38.548000,111181,107391,13277,276257211
45312,38.725002,109566,102641,12256,277115005
45440,38.769001,109281,107760,13195,277972797
