array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
16256;2.0099999905;25892;1019;20;130048;24027437;14641280
16384;2.0840001106;25586;1041;16;131072;24236218;14484192
16512;2.1000001431;26073;1155;23;132096;24445152;14650047
16640;2.3670001030;26508;1085;29;133120;24654236;14817775
16768;3.1540000439;27509;1236;15;134144;24863471;14986005
16896;1.9150000811;26535;1073;17;135168;25072855;15156393
17024;2.0750000477;27103;1094;24;136192;25282387;15324154
17152;2.1840000153;27568;938;23;137216;25492065;15494057
17280;4.0610003471;27928;1326;12;138240;25701889;15663977
17408;3.0420000553;27652;1181;15;139264;25911857;15836056
17536;2.2350001335;28517;1530;17;140288;26121969;16003835
17664;2.2890000343;28859;1115;19;141312;26332223;16173738
17792;2.3490002155;29136;1211;28;142336;26542619;16343658
17920;4.3010001183;29316;1365;42;143360;26753155;16515738
18048;2.4320001602;29416;1267;18;144384;26963831;16685674
18176;2.3820002079;29541;1112;18;145408;27174645;16857753
18304;2.3410000801;30118;1155;17;146432;27385596;17029849
18432;2.2200000286;29863;1067;23;147456;27596684;17204104
18560;2.4420001507;30791;1235;23;148480;27807907;17371902
18688;2.5480000973;30973;1193;29;149504;28019265;17541805
18816;2.5050001144;31237;1060;25;150528;28230756;17711723
18944;3.9890000820;31524;1281;25;151552;28442380;17883805
19072;2.5590000153;31523;966;27;152576;28654136;18053739
19200;2.5510001183;32198;1342;23;153600;28866023;18225820
19328;2.6180000305;32454;1184;20;154624;29078040;18397915
19456;2.6360001564;32234;1104;22;155648;29290186;18572170
19584;2.6010000706;33147;1205;26;156672;29502461;18742125
19712;3.2620000839;33017;1322;18;157696;29714863;18914206
19840;2.7880001068;33455;1200;31;158720;29927392;19086299
19968;2.7360000610;33472;1183;23;159744;30140047;19260555
20096;2.7800002098;33787;1258;33;160768;30352827;19432668
20224;2.7710001469;33996;1456;17;161792;30565731;19606924
20352;2.5110001564;34421;1238;26;162816;30778758;19781194
20480;2.7350001335;34616;1214;19;163840;30991909;19957717
20608;2.9050002098;34846;1175;22;164864;31205181;20125531
20736;2.7260000706;35076;1428;18;165888;31418574;20295436
20864;2.9230000973;36343;1346;18;166912;31632088;20465356
20992;2.9390001297;35862;1316;25;167936;31845722;20637435
21120;3.0510001183;35940;1383;17;168960;32059474;20807371
21248;3.0120000839;36217;1397;22;169984;32273345;20979451
21376;2.6900000572;36546;1119;25;171008;32487334;21151545
21504;2.8950002193;36253;1490;24;172032;32701439;21325802
21632;3.0560002327;36732;1225;26;173056;32915660;21495755
21760;2.9330000877;37022;1488;26;174080;33129997;21667836
21888;3.1080000401;37430;1187;21;175104;33344449;21839930
22016;4.0290002823;37732;1572;18;176128;33559014;22014188
22144;3.8370001316;37869;1472;21;177152;33773694;22186299
22272;2.8420002460;37896;1252;23;178176;33988485;22360554
22400;3.2410001755;39118;1443;23;179200;34203390;22534826
22528;3.3250000477;38620;1482;21;180224;34418405;22711258
22656;3.0160000324;38851;1369;20;181248;34633532;22881236
22784;2.9480001926;38962;1229;24;182272;34848768;23053309
22912;3.3370001316;39662;1291;17;183296;35064114;23225404
23040;2.9810001850;39627;1371;23;184320;35279570;23399660
23168;3.2670001984;39836;1400;14;185344;35495133;23571773
23296;3.1310000420;39968;1697;27;186368;35710805;23746029
23424;3.6500000954;40803;1518;21;187392;35926584;23920300
23552;3.5320000648;40456;1634;19;188416;36142469;24096732
23680;7.3730001450;41084;1513;25;189440;36358460;24268862
23808;3.8040001392;41403;1660;20;190464;36574557;24443118
23936;3.5190000534;41834;1623;23;191488;36790759;24617389
24064;3.3430001736;41852;1753;20;192512;37007065;24793821
24192;3.5650000572;41900;1672;24;193536;37223475;24968109
24320;4.0880002975;42405;1538;25;194560;37439988;25144542
24448;3.6150002480;42267;1673;21;195584;37656604;25320988
24576;3.6370000839;43048;1554;25;196608;37873322;25499596
24704;3.4780001640;42946;1737;20;197632;38090141;25564517
24832;3.9570002556;43391;1730;20;198656;38307062;25631509
24960;3.7830002308;44522;1652;22;199680;38524083;25698515
25088;3.5870001316;43787;1740;17;200704;38741205;25767683
25216;4.1620001793;44174;1932;23;201728;38958426;25834707
25344;3.8270001411;44352;1622;17;202752;39175746;25903875
25472;3.7110002041;44782;1522;17;203776;39393164;25973058
25600;3.5200002193;44565;1687;19;204800;39610681;26044402
25728;3.9770002365;45067;1586;17;205824;39828295;26111444
25856;5.0130000114;45702;1835;22;206848;40046006;26180612
25984;3.5320000648;46089;1679;22;207872;40263814;26249795
26112;3.5730001926;46032;1984;11;208896;40481717;26321139
26240;3.8830001354;46264;1941;38;209920;40699717;26390339
26368;4.1310000420;46170;1694;19;210944;40917812;26461683
26496;3.7690002918;47045;1595;17;211968;41136001;26533041
26624;3.7690002918;46391;1865;27;212992;41354285;26606562
26752;3.7820000648;46887;1713;16;214016;41572662;26673622
26880;3.4140002728;47540;1815;26;215040;41791133;26742790
27008;3.4180002213;47983;1829;21;216064;42009697;26811973
27136;3.8190002441;47925;1669;21;217088;42228353;26883317
27264;3.6520001888;48403;1878;24;218112;42447101;26952517
27392;3.9440002441;49270;2074;20;219136;42665941;27023861
27520;3.9500002861;49325;1815;12;220160;42884872;27095220
27648;3.5370001793;49112;2284;20;221184;43103894;27168740
27776;4.0090003014;49034;1867;14;222208;43323006;27237958
27904;3.8540000916;49487;1807;17;223232;43542208;27309302
28032;3.6660001278;50470;1788;29;224256;43761500;27380661
28160;3.6370000839;50051;1741;20;225280;43980881;27454180
28288;3.9460000992;50238;1917;24;226304;44200350;27525557
28416;3.9920001030;50710;1911;20;227328;44419908;27599077
28544;4.0460000038;51476;1825;21;228352;44639553;27672612
28672;3.9100000858;51407;1809;19;229376;44859286;27748308
28800;3.4910001755;51223;1790;13;230400;45079106;27815385
28928;3.9000000954;51468;1833;21;231424;45299013;27884554
29056;3.9240002632;52794;1930;21;232448;45519006;27953737
29184;5.1910004616;52972;2195;26;233472;45739086;28025083
29312;4.0560002327;52399;1855;23;234496;45959250;28094281
29440;5.3180003166;53357;2320;17;235520;46179500;28165627
29568;4.0900001526;53598;2025;22;236544;46399835;28236984
29696;8.4720001221;54105;2578;23;237568;46620254;28310505
29824;4.8150000572;53748;2202;24;238592;46840758;28379723
29952;4.1090002060;54188;2230;14;239616;47061345;28451066
30080;4.3800001144;55264;1996;18;240640;47282015;28522425
30208;4.6570000648;54239;2293;21;241664;47502769;28595946
30336;3.6150002480;54300;2177;22;242688;47723605;28667320
30464;8.6360006332;55874;2652;23;243712;47944523;28740848
30592;3.6270000935;55785;2122;29;244736;48165524;28814376
30720;4.1449999809;55358;2344;28;245760;48386606;28890072
30848;4.4300003052;55351;2688;10;246784;48607769;28959309
30976;4.0300002098;56780;2126;25;247808;48829014;29030653
31104;4.1040000916;57214;2152;21;248832;49050339;29102011
31232;4.1270003319;56421;2118;27;249856;49271744;29175531
31360;4.6040000916;56592;2177;25;250880;49493229;29246907
31488;3.9050002098;57436;2125;15;251904;49714794;29320427
31616;4.0859999657;59220;2196;22;252928;49936439;29393962
31744;3.6600000858;57406;2053;29;253952;50158162;29469657
31872;6.3660001755;57995;2273;29;254976;50379964;29541053
32000;3.7980000973;58829;2165;11;256000;50601844;29614572
32128;4.4040002823;59418;2131;24;257024;50823802;29688107
